datetime,closed,motor_position,motor_range,trv_temperature,target_temperature,co2,temperature,humidity
2023-11-01 17:42:58,,532.0,532.0,25.4,25.0,,,
2023-11-01 17:43:48,1.0,,,,,,,
2023-11-01 17:48:48,1.0,,,,,,,
2023-11-01 17:50:46,,,,,,2003.0,23.2,47.66
2023-11-01 17:52:59,,532.0,532.0,25.4,25.0,,,
2023-11-01 17:53:48,1.0,,,,,,,
2023-11-01 17:58:48,1.0,,,,,,,
2023-11-01 18:03:00,,532.0,532.0,25.5,25.0,,,
2023-11-01 18:03:48,1.0,,,,,,,
2023-11-01 18:08:48,1.0,,,,,,,
2023-11-01 18:11:00,,,,,,1909.0,23.1,47.66
2023-11-01 18:13:01,,532.0,532.0,25.7,25.0,,,
2023-11-01 18:13:48,1.0,,,,,,,
2023-11-01 18:18:48,1.0,,,,,,,
2023-11-01 18:23:02,,532.0,532.0,25.7,25.0,,,
2023-11-01 18:23:48,1.0,,,,,,,
2023-11-01 18:31:14,,,,,,1860.0,23.0,47.66
2023-11-01 18:33:03,,532.0,532.0,25.9,25.0,,,
2023-11-01 18:33:48,1.0,,,,,,,
2023-11-01 18:38:48,1.0,,,,,,,
2023-11-01 18:41:19,,,,,,1769.0,22.9,48.05
2023-11-01 18:43:04,,532.0,532.0,26.1,25.0,,,
2023-11-01 18:43:48,1.0,,,,,,,
2023-11-01 18:48:48,1.0,,,,,,,
2023-11-01 18:51:24,,,,,,1797.0,22.9,47.66
2023-11-01 18:53:05,,532.0,532.0,26.1,25.0,,,
2023-11-01 18:53:48,1.0,,,,,,,
2023-11-01 18:58:48,1.0,,,,,,,
2023-11-01 19:01:36,,,,,,1772.0,22.9,48.05
2023-11-01 19:03:06,,532.0,532.0,26.2,25.0,,,
2023-11-01 19:03:48,1.0,,,,,,,
2023-11-01 19:11:48,,,,,,1717.0,22.9,47.66
2023-11-01 19:13:07,,532.0,532.0,26.2,25.0,,,
2023-11-01 19:13:48,1.0,,,,,,,
2023-11-01 19:18:48,1.0,,,,,,,
2023-11-01 19:22:00,,,,,,1717.0,22.9,47.66
2023-11-01 19:23:08,,532.0,532.0,26.4,25.0,,,
2023-11-01 19:23:48,1.0,,,,,,,
2023-11-01 19:28:48,1.0,,,,,,,
2023-11-01 19:32:13,,,,,,1629.0,22.9,47.66
2023-11-01 19:33:09,,532.0,532.0,26.4,25.0,,,
2023-11-01 19:33:48,1.0,,,,,,,
2023-11-01 19:38:48,1.0,,,,,,,
2023-11-01 19:42:27,,,,,,1623.0,22.9,47.66
2023-11-01 19:43:10,,532.0,532.0,26.6,25.0,,,
2023-11-01 19:43:48,1.0,,,,,,,
2023-11-01 19:48:48,1.0,,,,,,,
2023-11-01 19:52:37,,,,,,1615.0,22.9,47.66
2023-11-01 19:53:11,,532.0,532.0,26.6,25.0,,,
2023-11-01 19:53:48,1.0,,,,,,,
2023-11-01 19:58:48,1.0,,,,,,,
2023-11-01 20:02:49,,,,,,1703.0,22.9,47.66
2023-11-01 20:03:12,,532.0,532.0,26.6,25.0,,,
2023-11-01 20:03:48,1.0,,,,,,,
2023-11-01 20:08:48,1.0,,,,,,,
2023-11-01 20:13:01,,,,,,1629.0,22.8,47.66
2023-11-01 20:13:13,,532.0,532.0,26.6,25.0,,,
2023-11-01 20:13:51,1.0,,,,,,,
2023-11-01 20:18:48,1.0,,,,,,,
2023-11-01 20:23:13,,,,,,1562.0,22.9,47.66
2023-11-01 20:23:14,,532.0,532.0,26.4,25.0,,,
2023-11-01 20:23:48,1.0,,,,,,,
2023-11-01 20:28:48,1.0,,,,,,,
2023-11-01 20:33:15,,532.0,532.0,26.4,25.0,,,
2023-11-01 20:33:25,,,,,,1561.0,22.8,47.66
2023-11-01 20:33:48,1.0,,,,,,,
2023-11-01 20:38:48,1.0,,,,,,,
2023-11-01 20:43:15,,532.0,532.0,26.4,25.0,,,
2023-11-01 20:43:31,,,,,,1487.0,22.8,47.66
2023-11-01 20:43:48,1.0,,,,,,,
2023-11-01 20:48:48,1.0,,,,,,,
2023-11-01 20:53:16,,532.0,532.0,26.2,25.0,,,
2023-11-01 20:53:43,,,,,,1557.0,22.8,47.66
2023-11-01 20:53:48,1.0,,,,,,,
2023-11-01 20:58:48,1.0,,,,,,,
2023-11-01 21:03:17,,,,,,1557.0,22.8,47.66
